Conference,Index,Paper
CCS22,Security and privacy/Theory of computation,Updatable Public Key Encryption from DCR: Efficient Constructions With Stronger Security
CCS22,Security and privacy,Helping or Hindering?: How Browser Extensions Undermine Security
CCS22,Security and privacy,"Practical, Round-Optimal Lattice-Based Blind Signatures"
CCS22,Security and privacy,Blacktooth: Breaking through the Defense of Bluetooth in Silence
CCS22,Security and privacy,Server-Aided Continuous Group Key Agreement
CCS22,Security and privacy/Theory of computation,Enforcing Fine-grained Constant-time Policies
CCS22,Security and privacy,Post Quantum Noise
CCS22,Security and privacy,Laconic Private Set-Intersection From Pairings
CCS22,Security and privacy,Efficient Secure Three-Party Sorting with Applications to Data Analysis and Heavy Hitters
CCS22,Security and privacy,Chaghri - A FHE-friendly Block Cipher
CCS22,Theory of computation,Secure Parallel Computation on Privately Partitioned Data and Applications
CCS22,Security and privacy,Thora: Atomic and Privacy-Preserving Multi-Channel Updates
CCS22,Security and privacy,Sleepy Channels: Bi-directional Payment Channels without Watchtowers
CCS22,Security and privacy,On the Adaptive Security of the Threshold BLS Signature Scheme
CCS22,Security and privacy,Secret-Shared Joins with Multiplicity from Aggregation Trees
CCS22,Security and privacy,META-BTS: Bootstrapping Precision Beyond the Limit
CCS22,Security and privacy,i-TiRE: Incremental Timed-Release Encryption or How to use Timed-Release Encryption on Blockchains?
CCS22,Computing methodologies/Security and privacy,Membership Inference Attacks and Generalization: A Causal Perspective
CCS22,Security and privacy,Tidy: Symbolic Verification of Timed Cryptographic Protocols
CCS22,Security and privacy,A Wolf in Sheep's Clothing: Spreading Deadly Pathogens Under the Disguise of Popular Music
CCS22,Security and privacy/Theory of computation,Feta: Efficient Threshold Designated-Verifier Zero-Knowledge Proofs
CCS22,Security and privacy,"Distributed, Private, Sparse Histograms in the Two-Server Model"
CCS22,Security and privacy,Threshold Cryptography as a Service (in the Multiserver and YOSO Models)
CCS22,General and reference/Security and privacy,Privacy Limitations of Interest-based Advertising on The Web: A Post-mortem Empirical Analysis of Google's FLoC
CCS22,Security and privacy,JIT-Picking: Differential Fuzzing of JavaScript Engines
CCS22,Security and privacy,A Symbolic Analysis of Privacy for TLS 1.3 with Encrypted Client Hello
CCS22,Software and its engineering/Security and privacy,Power Contracts: Provably Complete Power Leakage Models for Processors
CCS22,Security and privacy,Themis: An On-Site Voting System with Systematic Cast-as-intended Verification and Partial Accountability
CCS22,Security and privacy,Victory by KO: Attacking OpenPGP Using Key Overwriting
CCS22,Security and privacy,Do Opt-Outs Really Opt Me Out?
CCS22,Security and privacy,Vizard: A Metadata-hiding Data Analytic System with End-to-End Policy Controls
CCS22,Security and privacy,Succinct Zero-Knowledge Batch Proofs for Set Accumulators
CCS22,Mathematics of computing/Security and privacy,Widespread Underestimation of Sensitivity in Differentially Private Libraries and How to Fix It
CCS22,Security and privacy,SFuzz: Slice-based Fuzzing for Real-Time Operating Systems
CCS22,Computing methodologies/Security and privacy,Graph Unlearning
CCS22,Software and its engineering,MetaEmu: An Architecture Agnostic Rehosting Framework for Automotive Firmware
CCS22,Security and privacy/Theory of computation,PSI from Ring-OLE
CCS22,Hardware/Security and privacy,HammerScope: Observing DRAM Power Consumption Using Rowhammer
CCS22,Security and privacy,SortingHat: Efficient Private Decision Tree Evaluation via Homomorphic Encryption and Transciphering
CCS22,Computing methodologies/Security and privacy,SSLGuard: A Watermarking Scheme for Self-supervised Learning Pre-trained Encoders
CCS22,Security and privacy,The Generals' Scuttlebutt: Byzantine-Resilient Gossip Protocols
CCS22,Security and privacy/Theory of computation,Sharp: Short Relaxed Range Proofs
CCS22,Security and privacy,QuerySnout: Automating the Discovery of Attribute Inference Attacks against Query-Based Systems
CCS22,Software and its engineering/Security and privacy,VRust: Automated Vulnerability Detection for Solana Smart Contracts
CCS22,Security and privacy,Fast Fully Secure Multi-Party Computation over Any Ring with Two-Thirds Honest Majority
CCS22,Security and privacy,Understanding Security Issues in the NFT Ecosystem
CCS22,Theory of computation,GearBox: Optimal-size Shard Committees by Leveraging the Safety-Liveness Dichotomy
CCS22,Security and privacy,STAR: Secret Sharing for Private Threshold Aggregation Reporting
CCS22,Networks/Security and privacy,CANflict: Exploiting Peripheral Conflicts for Data-Link Layer Attacks on Automotive Networks
CCS22,Security and privacy,Two-Client Inner-Product Functional Encryption with an Application to Money-Laundering Detection
CCS22,Computer systems organization/Networks,On the (In)Security of Secure ROS2
CCS22,Security and privacy/Theory of computation,"FenceSitter: Black-box, Content-Agnostic, and Synchronization-Free Enrollment-Phase Attacks on Speaker Recognition Systems"
CCS22,Security and privacy,StrongBox: A GPU TEE on Arm Endpoints
CCS22,Security and privacy,Understanding Real-world Threats to Deep Learning Models in Android Apps
CCS22,Security and privacy,A Run a Day Won't Keep the Hacker Away: Inference Attacks on Endpoint Privacy Zones in Fitness Tracking Social Networks
CCS22,Security and privacy,Second-Order Low-Randomness d + 1 Hardware Sharing of the AES
CCS22,Security and privacy/Theory of computation,Improving Line-Point Zero Knowledge: Two Multiplications for the Price of One
CCS22,Security and privacy,Shorter Signatures Based on Tailor-Made Minimalist Symmetric-Key Crypto
CCS22,Security and privacy,Leakage and Tamper Resilient Permutation-Based Cryptography
CCS22,Security and privacy,Exposing the Rat in the Tunnel: Using Traffic Analysis for Tor-based Malware Detection
CCS22,Security and privacy,Watch Out for Race Condition Attacks When Using Android External Storage
CCS22,Computing methodologies/Security and privacy,Perception-Aware Attack: Creating Adversarial Music via Reverse-Engineering Human Perception
CCS22,Security and privacy,Towards Automated Safety Vetting of Smart Contracts in Decentralized Applications
CCS22,Mathematics of computing/Security and privacy,Poirot: Probabilistically Recommending Protections for the Android Framework
CCS22,Security and privacy,TurboPack: Honest Majority MPC with Constant Online Communication
CCS22,Security and privacy,Automatic Detection of Speculative Execution Combinations
CCS22,Security and privacy,When Frodo Flips: End-to-End Key Recovery on FrodoKEM via Rowhammer
