Conference,Track,Index,Paper
FSE22,Machine Learning I,Software and its engineering,Adaptive fairness improvement based on causality analysis
FSE22,Machine Learning I,Computing methodologies/Software and its engineering,NatGen: generative pre-training by “naturalizing” source code
FSE22,Software Testing I,Software and its engineering,Testing of autonomous driving systems: where are we and where should we go?
FSE22,Software Testing I,Software and its engineering,Fuzzing deep-learning libraries via automated relational API inference
FSE22,Software Testing I,Security and privacy/Software and its engineering,SEDiff: scope-aware differential fuzzing to test internal function models in symbolic execution
FSE22,Software Testing I,Computing methodologies/Software and its engineering,Perfect is the enemy of test oracle
FSE22,Software Testing I,Software and its engineering,Scenario-based test reduction and prioritization for multi-module autonomous driving systems
FSE22,Software Testing I,Software and its engineering,MOSAT: finding safety violations of autonomous driving systems using multi-objective genetic algorithm
FSE22,Empirical I,General and reference/Software and its engineering,Are we building on the rock? on the importance of data preprocessing for code summarization
FSE22,Empirical I,Human-centered computing,Correlates of programmer efficacy and their link to experience: a combined EEG and eye-tracking study
FSE22,Empirical I,Human-centered computing/Software and its engineering,What motivates software practitioners to contribute to inner source?
FSE22,Community,Information systems/General and reference/Software and its engineering,A retrospective study of one decade of artifact evaluations
FSE22,Community,General and reference/Software and its engineering,Quantifying community evolution in developer social networks
FSE22,Community,Human-centered computing,Understanding skills for OSS communities on GitHub
FSE22,Software Evolution,Software and its engineering,Accurate method and variable tracking in commit history
FSE22,Software Evolution,Software and its engineering,Classifying edits to variability in source code
FSE22,Software Evolution,General and reference/Software and its engineering,The evolution of type annotations in python: an empirical study
FSE22,Software Evolution,Software and its engineering,"UTANGO: untangling commits with context-aware, graph-based, code change clustering learning model"
FSE22,Program Analysis I,Software and its engineering,Static executes-before analysis for event driven programs
FSE22,Program Analysis I,Security and privacy/Software and its engineering,Security code smells in apps: are we getting better?
FSE22,Program Analysis I,Software and its engineering/Theory of computation,Large-scale analysis of non-termination bugs in real-world OSS projects
FSE22,Program Analysis I,Computing methodologies/Software and its engineering,On-the-fly syntax highlighting using neural networks
FSE22,Program Analysis I,Software and its engineering,Declarative smart contracts
FSE22,Human/Computer Interaction,Human-centered computing/Software and its engineering,Asynchronous technical interviews: reducing the effect of supervised think-aloud on communication ability
FSE22,Human/Computer Interaction,Software and its engineering,How to formulate specific how-to questions in software development?
FSE22,Human/Computer Interaction,Computing methodologies/Software and its engineering/Human-centered computing,Pair programming conversations with agents vs. developers: challenges and opportunities for SE community
FSE22,Human/Computer Interaction,Software and its engineering,"Psychologically-inspired, unsupervised inference of perceptual groups of GUI widgets from GUI images"
FSE22,Human/Computer Interaction,Software and its engineering,Toward interactive bug reporting for (android app) end-users
FSE22,Machine Learning II,Software and its engineering,Understanding performance problems in deep learning systems
FSE22,Machine Learning II,Computing methodologies/Information systems,API recommendation for machine learning libraries: how far are we?
FSE22,Machine Learning II,Software and its engineering,No more fine-tuning? an experimental evaluation of prompt tuning in code intelligence
FSE22,Software Testing II,Software and its engineering,Cross-device record and replay for Android apps
FSE22,Software Testing II,Information systems/Software and its engineering,Online testing of RESTful APIs: promises and challenges
FSE22,Software Testing II,Software and its engineering,Avgust: automating usage-based test generation from videos of app executions
