Conference,Track,Index,Paper
ICMR22,Reidentification,Information systems,Multiple Biological Granularities Network for Person Re-Identification
ICMR22,Reidentification,Information systems/Computing methodologies,TriReID: Towards Multi-Modal Person Re-Identification via Descriptive Fusion Model
ICMR22,Reidentification,Computing methodologies,Temporal-Consistent Visual Clue Attentive Network for Video-Based Person Re-Identification
ICMR22,Reidentification,Information systems,Pluggable Weakly-Supervised Cross-View Learning for Accurate Vehicle Re-Identification
ICMR22,Recommendations,Information systems,An Effective Two-way Metapath Encoder over Heterogeneous Information Network for Recommendation
ICMR22,Recommendations,Information systems,Multi-Modal Contrastive Pre-training for Recommendation
ICMR22,Recommendations,Information systems,Flexible Order Aware Sequential Recommendation
ICMR22,Recommendations,Information systems,Sequential Intention-aware Recommender based on User Interaction Graph
ICMR22,Visual+Text Retrieval,Information systems/Computing methodologies,TransHash: Transformer-based Hamming Hashing for Efficient Image Retrieval
ICMR22,Visual+Text Retrieval,Computing methodologies,Constructing Phrase-level Semantic Labels to Form Multi-Grained Supervision for Image-Text Retrieval
ICMR22,Visual+Text Retrieval,Information systems/Computing methodologies,Relevance-based Margin for Contrastively-trained Video Retrieval Models
ICMR22,Visual+Text Retrieval,Information systems,CLIP4Hashing: Unsupervised Deep Hashing for Cross-Modal Video-Text Retrieval
ICMR22,Best Paper Candidates,Computing methodologies,Dual-Level Decoupled Transformer for Video Captioning
ICMR22,Best Paper Candidates,Information systems,Cross-Modal Retrieval between Event-Dense Text and Image
ICMR22,Best Paper Candidates,Information systems,Learning Hierarchical Semantic Correspondences for Cross-Modal Image-Text Retrieval
ICMR22,Deep Learning - Methodological Advancements,Information systems/Computing methodologies,Nearest Neighbor Search with Compact Codes: A Decoder Perspective
ICMR22,Deep Learning - Methodological Advancements,Computing methodologies,Teaching a New Dog Old Tricks: Contrastive Random Walks in Videos with Unsupervised Priors
ICMR22,Deep Learning - Methodological Advancements,Computing methodologies,FedNKD: A Dependable Federated Learning Using Fine-tuned Random Noise and Knowledge Distillation
ICMR22,Deep Learning - Methodological Advancements,Computing methodologies,Weakly Supervised Fine-grained Recognition based on Combined Learning for Small Data and Coarse Label
ICMR22,Visual+Text Retrieval,Computing methodologies,Ingredient-enriched Recipe Generation from Cooking Videos
ICMR22,Visual+Text Retrieval,Information systems,Cross-lingual Adaptation for Recipe Retrieval with Mixup
ICMR22,Visual+Text Retrieval,Computing methodologies,Disentangled Representations and Hierarchical Refinement of Multi-Granularity Features for Text-to-Image Synthesis
ICMR22,Visual+Text Retrieval,Computing methodologies,Style-woven Attention Network for Zero-shot Ink Wash Painting Style Transfer
ICMR22,Applications,Computing methodologies,Automatic Visual Recognition of Unexploded Ordnances Using Supervised Deep Learning
ICMR22,Applications,Computing methodologies,Generating Topological Structure of Floorplans from Room Attributes
ICMR22,Applications,Computing methodologies,MultiCLU: Multi-stage Context Learning and Utilization for Storefront Accessibility Detection and Evaluation
ICMR22,Applications,Computing methodologies,UF-VTON: Toward User-Friendly Virtual Try-On Network
ICMR22,Synchronized MM,Computing methodologies,Learning Sample Importance for Cross-Scenario Video Temporal Grounding
ICMR22,Synchronized MM,Computing methodologies,Efficient Linear Attention for Fast and Accurate Keypoint Matching
ICMR22,Synchronized MM,Computing methodologies,Video2Subtitle: Matching Weakly-Synchronized Sequences via Dynamic Temporal Alignment
ICMR22,Synchronized MM,Information systems,Dual-Channel Localization Networks for Moment Retrieval with Natural Language
ICMR22,Reproducibility Paper,Computing methodologies,Reproducibility Companion Paper: Human Object Interaction Detection via Multi-level Conditioned Network
ICMR22,Alignment and Localization,Computing methodologies,Phrase-level Prediction for Video Temporal Localization
ICMR22,Alignment and Localization,Information systems,Joint Modality Synergy and Spatio-temporal Cue Purification for Moment Localization
ICMR22,Captioning and Summarization,Computing methodologies,Improving Image Captioning via Enhancing Dual-Side Context Awareness
ICMR22,Captioning and Summarization,Computing methodologies,Improve Image Captioning by Modeling Dynamic Scene Graph Extension
ICMR22,Captioning and Summarization,Computing methodologies,Summarizing Videos using Concentrated Attention and Considering the Uniqueness and Diversity of the Video Frames
ICMR22,Applications,Information systems,Fashion Image Search via Anchor-Free Detector
ICMR22,Applications,Computing methodologies,Unsupervised Contrastive Masking for Visual Haze Classification
ICMR22,Applications,Computing methodologies,MuLER: Multiplet-Loss for Emotion Recognition
