Conference,Track,Index,Paper
KDD22,Research Track Full Papers,Applied computing/Computing methodologies,GBPNet: Universal Geometric Representation Learning on Protein Structures
KDD22,Research Track Full Papers,Computing methodologies,Saliency-Regularized Deep Multi-Task Learning
KDD22,Research Track Full Papers,Computing methodologies,Submodular Feature Selection for Partial Label Learning
KDD22,Research Track Full Papers,Information systems,Motif Prediction with Graph Neural Networks
KDD22,Research Track Full Papers,Computing methodologies/Security and privacy,Practical Lossless Federated Singular Vector Decomposition over Billion-Scale Data
KDD22,Research Track Full Papers,Information systems/Computing methodologies,Avoiding Biases due to Similarity Assumptions in Node Embeddings
KDD22,Research Track Full Papers,Computing methodologies,Open-Domain Aspect-Opinion Co-Mining with Double-Layer Span Extraction
KDD22,Research Track Full Papers,Computing methodologies,Multi-Variate Time Series Forecasting on Variable Subsets
KDD22,Research Track Full Papers,Computing methodologies,FedMSplit: Correlation-Adaptive Federated Multi-Task Learning across Multimodal Split Networks
KDD22,Research Track Full Papers,Information systems,Efficient Join Order Selection Learning with Graph-based Representation
KDD22,Research Track Full Papers,Information systems/Security and privacy,Knowledge-enhanced Black-box Attacks for Recommendations
KDD22,Research Track Full Papers,Information systems,Multi-modal Siamese Network for Entity Alignment
KDD22,Research Track Full Papers,Computer systems organization/Networks,Efficient Orthogonal Multi-view Subspace Clustering
KDD22,Research Track Full Papers,Information systems,Scalar is Not Enough: Vectorization-based Unbiased Learning to Rank
KDD22,Research Track Full Papers,Computing methodologies/Mathematics of computing,Learning to Rotate: Quaternion Transformer for Complicated Periodical Time Series Forecasting
KDD22,Research Track Full Papers,Theory of computation,Efficient Approximate Algorithms for Empirical Variance with Hashed Block Sampling
KDD22,Research Track Full Papers,Information systems,Learning Binarized Graph Representations with Multi-faceted Quantization Reinforcement for Top-K Recommendation
KDD22,Research Track Full Papers,Computing methodologies,RLogic: Recursive Logical Rule Learning from Knowledge Graphs
KDD22,Research Track Full Papers,Computing methodologies,Sufficient Vision Transformer
KDD22,Research Track Full Papers,Computing methodologies/Mathematics of computing,HyperAid: Denoising in Hyperbolic Spaces for Tree-fitting and Hierarchical Clustering
KDD22,Research Track Full Papers,Computing methodologies/Mathematics of computing,TARNet: Task-Aware Reconstruction for Time-Series Transformer
KDD22,Research Track Full Papers,Security and privacy/Theory of computation,Scalable Differentially Private Clustering via Hierarchically Separated Trees
KDD22,Research Track Full Papers,Information systems/Theory of computation,Noisy Interactive Graph Search
KDD22,Research Track Full Papers,Computing methodologies,Collaboration Equilibrium in Federated Learning
