Conference,Track,Index,Paper
MOD22,Transaction Processing,Information systems,"Ad Hoc Transactions in Web Applications: The Good, the Bad, and the Ugly"
MOD22,Transaction Processing,Information systems,"Plor: General Transactions with Predictable, Low Tail Latency"
MOD22,Transaction Processing,Information systems,Skeena: Efficient and Consistent Cross-Engine Transactions
MOD22,Transaction Processing,Information systems,Diva: Making MVCC Systems HTAP-Friendly
MOD22,Transaction Processing,Computing methodologies/Information systems,Hybrid Deterministic and Nondeterministic Execution of Transactions in Actor Systems
MOD22,Query Processing and Optimization 1,Information systems,Optimizing Recursive Queries with Progam Synthesis
MOD22,Query Processing and Optimization 1,Theory of computation/Information systems,WeTune: Automatic Discovery and Verification of Query Rewrite Rules
MOD22,Query Processing and Optimization 1,Theory of computation/Information systems,Conjunctive Queries with Comparisons
MOD22,Query Processing and Optimization 1,Information systems,Efficient Massively Parallel Join Optimization for Large Queries
MOD22,Query Processing and Optimization 1,Theory of computation/Information systems,Efficient Incrementialization of Correlated Nested Aggregate Queries using Relative Partial Aggregate Indexes (RPAI)
MOD22,ML for Data Management 1,Information systems,Serenade - Low-Latency Session-Based Recommendation in e-Commerce at Scale
MOD22,ML for Data Management 1,Information systems,Neural Subgraph Counting with Wasserstein Estimator
MOD22,ML for Data Management 1,Computing methodologies/Information systems,Statistical Schema Learning with Occam's Razor
MOD22,ML for Data Management 1,Computing methodologies/Information systems,"DB-BERT: A Database Tuning Tool that ""Reads the Manual"""
MOD22,ML for Data Management 1,Computing methodologies/Information systems,PreQR: Pre-training Representation for SQL Understanding
MOD22,Responsible Data Management and Fairness,Computing methodologies/Information systems/Software and its engineering,DataPrism: Exposing Disconnect between Data and Systems
MOD22,Responsible Data Management and Fairness,Computing methodologies/Information systems/General and reference,Through the Data Management Lens: Experimental Analysis and Evaluation of Fair Classification
MOD22,Responsible Data Management and Fairness,Information systems,Interpretable Data-Based Explanations for Fairness Debugging
MOD22,Responsible Data Management and Fairness,Information systems,Rank Aggregation with Proportionate Fairness
MOD22,Responsible Data Management and Fairness,Computing methodologies/Theory of computation,Causal Feature Selection for Algorithmic Fairness
MOD22,Streaming and Sensor Networks 1,Information systems,TSUBASA: Climate Network Construction on Historical and Real-Time Data
MOD22,Streaming and Sensor Networks 1,Information systems,DenForest: Enabling Fast Deletion in Incremental Density-Based Clustering over Sliding Windows
MOD22,Streaming and Sensor Networks 1,Theory of computation/Information systems,AutoMon: Automatic Distributed Monitoring for Arbitrary Multivariate Functions
MOD22,Streaming and Sensor Networks 1,Mathematics of computing/Theory of computation,GraphZeppelin: Storage-Friendly Sketching for Connected Components on Dynamic Graph Streams
MOD22,Streaming and Sensor Networks 1,Information systems,DLACEP: A Deep-Learning Based Framework for Approximate Complex Event Processing
MOD22,Data Cleaning and Integration,Theory of computation,Understanding Queries by Conditional Instances
MOD22,Data Cleaning and Integration,Computing methodologies/Information systems,Complaint-Driven Training Data Debugging at Interactive Speeds
MOD22,Data Cleaning and Integration,Information systems,Parallel Rule Discovery from Large Datasets by Sampling
MOD22,Data Cleaning and Integration,Human-centered computing/Information systems/Theory of computation/Mathematics of computing,Reptile: Aggregation-level Explanations for Hierarchical Data
MOD22,Data Cleaning and Integration,Information systems,Hierarchical Entity Resolution using an Oracle
MOD22,Data Cleaning and Integration,Information systems,Entity Resolution with Hierarchical Graph Attention Networks
MOD22,Data Cleaning and Integration,Information systems,Domain Adaptation for Deep Entity Resolution
