Conference,Track,Index,Paper
SAC22,Distributed systems: CC - cloud computing and interoperability,Software and its engineering,Transpose-xen: virtualized mixed-criticality through dynamic allocation
SAC22,Distributed systems: CC - cloud computing and interoperability,Software and its engineering/Computer systems organization/Security and privacy/Networks/Social and professional topics,"Domain name service trust delegation in cloud computing: exploitation, risks, and defense"
SAC22,Distributed systems: CC - cloud computing and interoperability,Security and privacy,Security interoperability in heterogeneous IoT platforms: threat model of the interoperable OAuth 2.0 framework
SAC22,Artificial intelligence and agents: CIVIA - computational intelligence and video & image analysis,Computing methodologies,The impact of different facial expression intensities on the performance of pre-trained emotion recognition models
SAC22,Artificial intelligence and agents: CIVIA - computational intelligence and video & image analysis,Computing methodologies,A better loss for visual-textual grounding
SAC22,Artificial intelligence and agents: CIVIA - computational intelligence and video & image analysis,Computing methodologies,Adversarial defense by restricting in-variance and co-variance of representations
SAC22,Artificial intelligence and agents: CIVIA - computational intelligence and video & image analysis,Computing methodologies,Time2Vec transformer: a time series approach for gas detection in seismic data
SAC22,Artificial intelligence and agents: CIVIA - computational intelligence and video & image analysis,Computing methodologies,Automated video editing based on learned styles using LSTM-GAN
SAC22,System software and security: CPS - cyber-physical systems,Computing methodologies/Theory of computation/Information systems,Residual size is not enough for anomaly detection: improving detection performance using residual similarity in multivariate time series
SAC22,System software and security: CPS - cyber-physical systems,Computing methodologies/Hardware,CSP specification and verification of relay-based railway interlocking systems
SAC22,System software and security: CPS - cyber-physical systems,Software and its engineering/Hardware/Information systems,On enduring more data through enabling page rewrite capability on multi-level-cell flash memory
SAC22,System software and security: CPS - cyber-physical systems,Computer systems organization/Hardware/Computing methodologies,RAM: exploiting restrained and approximate management for enabling neural network training on NVM-based systems
SAC22,System software and security: CPS - cyber-physical systems,Security and privacy,CIIA: critical infrastructure impact assessment
SAC22,System software and security: CPS - cyber-physical systems,Security and privacy/Computing methodologies,"Fast, lightweight IoT anomaly detection using feature pruning and PCA"
SAC22,System software and security: CPS - cyber-physical systems,Computer systems organization/Security and privacy,Software-defined hardware-assisted isolation for trusted next-generation IoT systems
SAC22,System software and security: CPS - cyber-physical systems,Computer systems organization/Security and privacy,PICO: privacy-preserving access control in IoT scenarios through incomplete information
SAC22,System software and security: CPS - cyber-physical systems,Human-centered computing,Improving response time of home IoT services in federated learning
SAC22,System software and security: CPS - cyber-physical systems,Security and privacy/Hardware/Information systems,SureSpace: orchestrating beacons and witnesses to certify device location
SAC22,System software and security: CPS - cyber-physical systems,Social and professional topics/Security and privacy,Ontology-based user privacy management in smart grid
SAC22,"Distributed systems: DADS - dependable, adaptive, and trustworthy distributed systems",Applied computing/Software and its engineering,A general and configurable framework for blockchain-based marketplaces
SAC22,"Distributed systems: DADS - dependable, adaptive, and trustworthy distributed systems",Computer systems organization,Redundant dataflow applications on clustered manycore architectures
SAC22,"Distributed systems: DADS - dependable, adaptive, and trustworthy distributed systems",Networks,RANC: reward-all nakamoto consensus
SAC22,"Distributed systems: DADS - dependable, adaptive, and trustworthy distributed systems",Computing methodologies,ElastiQuant: elastic quantization strategy for communication efficient distributed machine learning in IoT
SAC22,"Distributed systems: DADS - dependable, adaptive, and trustworthy distributed systems",Computer systems organization,An event-driven strategy for reactive replica balancing on apache hadoop distributed file system
SAC22,"Distributed systems: DAPP - decentralized applications with blockchain, DLT and crypto-currencies",Information systems/Security and privacy/Social and professional topics,Trac2Chain: trackability and traceability of graph data in blockchain with linkage privacy
SAC22,"Distributed systems: DAPP - decentralized applications with blockchain, DLT and crypto-currencies",Networks/Security and privacy/Social and professional topics,Calibrating the performance and security of blockchains via information propagation delays: revisiting an old approach with a new perspective
SAC22,"Distributed systems: DAPP - decentralized applications with blockchain, DLT and crypto-currencies",Computer systems organization/Software and its engineering/Theory of computation,Porting a benchmark with a classic workload to blockchain: TPC-C on hyperledger fabric
SAC22,"Distributed systems: DAPP - decentralized applications with blockchain, DLT and crypto-currencies",Computer systems organization/Computing methodologies/Security and privacy,FL-MAB: client selection and monetization for blockchain-based federated learning
SAC22,"Distributed systems: DAPP - decentralized applications with blockchain, DLT and crypto-currencies",Applied computing/Networks/Human-centered computing,Towards CBDC-based machine-to-machine payments in consumer IoT
SAC22,"Distributed systems: DAPP - decentralized applications with blockchain, DLT and crypto-currencies",Security and privacy/Software and its engineering,Model checking of vulnerabilities in smart contracts: a solidity-to-CPN approach
SAC22,Information systems: DBDM - databases and big data management track,Information systems/Computer systems organization,Toward replicated and asynchronous data streams for edge-cloud applications
SAC22,Information systems: DBDM - databases and big data management track,Information systems,Evaluating the integration of datasets
SAC22,Information systems: DBDM - databases and big data management track,Computing methodologies/Information systems,A graph-based blocking approach for entity matching using pre-trained contextual embedding models
