Conference,Track,Index,Paper
STOC22,Session 1A,Theory of computation,"Nonlocal games, compression theorems, and the arithmetical hierarchy"
STOC22,Session 1A,Theory of computation,An area law for 2d frustration-free spin systems
STOC22,Session 1A,Theory of computation,Dequantizing the Quantum singular value transformation: hardness and applications to Quantum chemistry and the Quantum PCP conjecture
STOC22,Session 1A,Theory of computation,Near-optimal Quantum algorithms for multivariate mean estimation
STOC22,Session 1A,Theory of computation,Distributed Quantum inner product estimation
STOC22,Session 1B,Theory of computation,The power of two choices in graphical allocation
STOC22,Session 1B,Theory of computation/Mathematics of computing,Expanders via local edge flips in quasilinear time
STOC22,Session 1B,Theory of computation,(Fractional) online stochastic matching via fine-grained offline statistics
STOC22,Session 1B,Theory of computation,The power of multiple choices in online stochastic matching
STOC22,Session 1B,Theory of computation,Online edge coloring via tree recurrences and correlation decay
STOC22,Session 1C,Theory of computation/Mathematics of computing,The shortest even cycle problem is tractable
STOC22,Session 1C,Theory of computation,Breaking the nk barrier for minimum k-cut on simple graphs
STOC22,Session 1C,Theory of computation,Edge connectivity augmentation in near-linear time
STOC22,Session 1C,Theory of computation,Optimal vertex connectivity oracles
STOC22,Session 1C,Theory of computation/Mathematics of computing,Deterministic massively parallel connectivity
STOC22,Session 2A,Theory of computation,Hypercontractivity on high dimensional expanders
STOC22,Session 2A,Theory of computation/Mathematics of computing,Approximate polymorphisms
STOC22,Session 2A,Theory of computation/Mathematics of computing,Learning low-degree functions from a logarithmic number of random queries
STOC22,Session 2A,Networks/Computer systems organization,Positive spectrahedra: invariance principles and pseudorandom generators
STOC22,Session 2B,Theory of computation,New streaming algorithms for high dimensional EMD and MST
STOC22,Session 2B,Theory of computation,Brooks’ theorem in graph streams: a single-pass semi-streaming algorithm for ∆-coloring
STOC22,Session 2B,Theory of computation,Deterministic (1+𝜀)-approximate maximum matching with poly(1/𝜀) passes in the semi-streaming model and beyond
STOC22,Session 2B,Theory of computation,Deterministic graph coloring in the streaming model
STOC22,Session 2B,Theory of computation,Linear space streaming lower bounds for approximating CSPs
STOC22,Session 2C,Theory of computation,A PTAS for unsplittable flow on a path
STOC22,Session 2C,Theory of computation,A subpolynomial approximation algorithm for graph crossing number in low-degree graphs
STOC22,Session 2C,Theory of computation,Improved approximation guarantees for shortest superstrings using cycle classification by overlap to length ratios
STOC22,Session 2C,Theory of computation,Flow time scheduling and prefix Beck-Fiala
STOC22,Session 2C,Theory of computation,Bypassing the surface embedding: approximation schemes for network design in minor-free graphs
STOC22,Award Papers Session I: Best Papers,Mathematics of computing,"Locally testable codes with constant rate, distance, and locality"
STOC22,Award Papers Session I: Best Papers,Theory of computation,Asymptotically good Quantum and locally testable classical LDPC codes
STOC22,Session 3A,Theory of computation,"Ideals, determinants, and straightening: proving and using lower bounds for polynomial ideals"
STOC22,Session 3A,Theory of computation,"Fast, algebraic multivariate multipoint evaluation in small characteristic and applications"
STOC22,Session 3A,Theory of computation,Set-multilinear and non-commutative formula lower bounds for iterated matrix multiplication
STOC22,Session 3A,Theory of computation,Combinatorics via closed orbits: number theoretic Ramanujan graphs are not unique neighbor expanders
STOC22,Session 3A,Theory of computation/Mathematics of computing,On the complexity of CSP-based ideal membership problems
STOC22,Session 3B,Theory of computation,Near-optimal distributed degree+1 coloring
