Conference,Subfield,Paper
CHI22,Education,VocabEncounter: NMT-powered Vocabulary Learning by Presenting Computer-Generated Usages of Foreign Words into Users’ Daily Lives
CHI22,"Law, social and behavioral sciences",User Perspectives and Ethical Experiences of Apps for Depression: A Qualitative Analysis of User Reviews
CHI22,"Law, social and behavioral sciences",Human-AI Collaboration via Conditional Delegation: A Case Study of Content Moderation
CHI22,Arts and humanities,Studying How Digital Luthiers Choose Their Tools
CHI22,Life and medical sciences,Unpacking Intention and Behavior: Explaining Contact Tracing App Adoption and Hesitancy in the United States
CHI22,Computers in other domains,Including the Experiences of Physically Disabled Players in Mainstream Guidelines for Movement-Based Games
CHI22,Education,immersivePOV: Filming How-To Videos with a Head-Mounted 360° Action Camera
CHI22,Document management and text processing,CrossData: Leveraging Text-Data Connections for Authoring Data Documents
CHI22,Education,Promptiverse: Scalable Generation of Scaffolding Prompts Through Human-AI Hybrid Knowledge Graph Annotation
CHI22,Arts and humanities,Embr: A Creative Framework for Hand Embroidered Liquid Crystal Textile Displays
CHI22,"Law, social and behavioral sciences",For What It’s Worth: Humans Overwrite Their Economic Self-interest to Avoid Bargaining With AI Systems
CHI22,Computers in other domains,"Unpacking Invisible Work Practices, Constraints, and Latent Power Relationships in Child Welfare through Casenote Analysis"
CHI22,Education,ExposAR: Bringing Augmented Reality to the Computational Thinking Agenda through a Collaborative Authoring Tool
CHI22,Arts and humanities,The Normal Natural Troubles of Virtual Reality in Mixed-Reality Performances
CHI22,Education,Participatory Design Goes to School: Co-Teaching as a Form of Co-Design for Educational Technology
CHI22,Computers in other domains,"“I Didn’t Catch That, But I’ll Try My Best”: Anticipatory Error Handling in a Voice Controlled Game"
CHI22,Computers in other domains,The Impact of Latency on Navigation in a First-Person Perspective Game
CHI22,Computers in other domains,Trading Accuracy for Enjoyment? Data Quality and Player Experience in Data Collection Games
CHI22,"Law, social and behavioral sciences",AI-Moderated Decision-Making: Capturing and Balancing Anchoring Bias in Sequential Decision Tasks
CHI22,Arts and humanities,Interactive Robotic Plastering: Augmented Interactive Design and Fabrication for On-site Robotic Plastering
CHI22,Operations research,Digital Fabrication of Pneumatic Actuators with Integrated Sensing by Machine Knitting
CHI22,Computers in other domains,The Effects of a Soundtrack on Board Game Player Experience
CHI22,Life and medical sciences,"Exploring Technology-Mediated Parental Socialisation of Emotion: Leveraging an Embodied, In-situ Intervention for Child Emotion Regulation"
CHI22,Education,Family as a Third Space for AI Literacies: How do children and parents learn about AI together?
CHI22,Education,Adaptive Empathy Learning Support in Peer Review Scenarios
CHI22,Education,AlgoSolve: Supporting Subgoal Learning in Algorithmic Problem-Solving with Learnersourced Microtasks
CHI22,Life and medical sciences,Personal Dream Informatics: A Self-Information Systems Model of Dream Engagement
CHI22,Education,Glancee: An Adaptable System for Instructors to Grasp Student Learning Status in Synchronous Online Classes
CHI22,Arts and humanities/Education,”I happen to be one of 47.8%”: Social-Emotional and Data Reasoning in Middle School Students’ Comics about Friendship
CHI22,Life and medical sciences,Design of Digital Workplace Stress-Reduction Intervention Systems: Effects of Intervention Type and Timing
CHI22,Life and medical sciences,Exploring Situated & Embodied Support for Youth’s Mental Health: Design Opportunities for Interactive Tangible Device
CHI22,Life and medical sciences,MyDJ: Sensing Food Intakes with an Attachable on Your Eyeglass Frame
CHI22,Life and medical sciences,Designing Flexible Longitudinal Regimens: Supporting Clinician Planning for Discontinuation of Psychiatric Drugs
CHI22,Life and medical sciences,A State-Based Medication Routine Framework
CHI22,Electronic commerce,RMS: Removing Barriers to Analyze the Availability and Surge Pricing of Ridesharing Services
CHI22,"Law, social and behavioral sciences",Semantic Gap in Predicting Mental Wellbeing through Passive Sensing
CHI22,Arts and humanities,Design Guidelines for Prompt Engineering Text-to-Image Generative Models
CHI22,Life and medical sciences,Examining AI Methods for Micro-Coaching Dialogs
CHI22,Computers in other domains,"(Don’t) stand by me: How trait psychopathy and NPC emotion influence player perceptions, verbal responses, and movement behaviours in a gaming task"
CHI22,Arts and humanities/Education,Making Space for Cultural Infrastructure: The Breakdown and Maintenance Work of Independent Movie Theaters During Crisis
CHI22,Life and medical sciences,Transitioning Toward Independence: Enhancing Collaborative Self-Management of Children with Type 1 Diabetes
CHI22,Life and medical sciences,When Worlds Collide: Boundary Management of Adolescent and Young Adult Childhood Cancer Survivors and Caregivers
CHI22,Life and medical sciences,Investigating Daily Practices of Self-care to Inform the Design of Supportive Health Technologies for Living and Ageing Well with HIV
CHI22,Education,We Play and Learn Rhythmically: Gesture-based Rhythm Game for Children with Intellectual Developmental Disabilities to Learn Manual Sign
CHI22,Document management and text processing,i-LaTeX : Manipulating Transitional Representations between LaTeX Code and Generated Documents
CHI22,Education,Applied computing/Human-centered computing
CHI22,Computers in other domains,Prevalence and Salience of Problematic Microtransactions in Top-Grossing Mobile and PC Games: A Content Analysis of User Reviews
CHI22,Arts and humanities/Computers in other domains/Physical sciences and engineering,Avatar Identities and Climate Change Action in Video Games: Analysis of Mitigation and Adaptation Practices
CHI22,Education,"Classroom Dandelions: Visualising Participant Position, Trajectory and Body Orientation Augments Teachers’ Sensemaking"
CHI22,Education,Bringing Patient Mannequins to Life: 3D Projection Enhances Nursing Simulation
CHI22,Education,Towards Modeling of Virtual Reality Welding Simulators to Promote Accessible and Scalable Training
CHI22,Education,ZenVR: Design Evaluation of a Virtual Reality Learning System for Meditation
CHI22,"Law, social and behavioral sciences",(Re)Politicizing Digital Well-Being: Beyond User Engagements
CHI22,Computers in other domains,“It’s Freedom to Put Things Where My Mind Wants”: Understanding and Improving the User Experience of Structuring Data in Spreadsheets
CHI22,Electronic commerce,Unofficial Proxies: How Close Others Help Older Adults with Banking
CHI22,Education,Towards Collaborative Learning in Virtual Reality: A Comparison of Co-Located Symmetric and Asymmetric Pair-Learning
CHI22,Education,Supporting Real-time Peer-Mentoring of Rural Volunteers
CCS22,Computers in other domains,Kryvos: Publicly Tally-Hiding Verifiable E-Voting
CCS22,Electronic commerce,"PEReDi: Privacy-Enhanced, Regulated and Distributed Central Bank Digital Currencies"
CCS22,"Law, social and behavioral sciences","Empirical Analysis of EIP-1559: Transaction Fees, Waiting Times, and Consensus Security"
CCS22,Security and privacy,StolenEncoder: Stealing Pre-trained Encoders in Self-supervised Learning
CCS22,Electronic commerce,Platypus: A Central Bank Digital Currency with Unlinkable Transactions and Privacy-Preserving Regulation
FSE22,Education,MultIPAs: applying program transformations to introductory programming assignments for data augmentation
FSE22,Enterprise computing,Automated capacity analysis of limitation-aware microservices architectures
ISCA22,Life and medical sciences,SeGraM: a universal hardware accelerator for genomic sequence-to-graph and sequence-to-sequence mapping
ISCA22,Enterprise computing,AI accelerator on IBM Telum processor: industrial product
MOD22,Life and medical sciences,Compact Walks: Taming Knowledge-Graph Embeddings with Domain- and Task-Specific Pathways
MOD22,Electronic commerce,CoLES: Contrastive Learning for Event Sequences with Self-Supervision
MOD22,Electronic commerce,Automated Category Tree Construction in E-Commerce
SAC22,Electronic commerce,A general and configurable framework for blockchain-based marketplaces
SAC22,"Law, social and behavioral sciences",Towards CBDC-based machine-to-machine payments in consumer IoT
SAC22,Enterprise computing,Optimizing ADWIN for steady streams
SAC22,Life and medical sciences,Deep graph neural network for video-based facial pain expression assessment
SAC22,Life and medical sciences,Improving ligand transport trajectory within flexible receptor in CaverDock
SAC22,Life and medical sciences,Configuring a federated network of real-world patient health data for multimodal deep learning prediction of health outcomes
SAC22,Life and medical sciences,Development of biologically interpretable multimodal deep learning model for cancer prognosis prediction
SAC22,Life and medical sciences,Disentangling temporal and amplitude variations in ECG synthesis using anchored GANs
SAC22,Life and medical sciences,A hybrid descriptor to improve kidney pathologies classification
SAC22,Life and medical sciences,DAM-AL: dilated attention mechanism with attention loss for 3D infant brain image segmentation
SAC22,Life and medical sciences,CheReS: a deep learning-based multi-faceted system for similarity search of chest X-rays
SAC22,Document management and text processing,Query-relevant sentiment summarization based on facet identification and sentence clustering
SAC22,Computers in other domains,Enhanced strawberry image classification using multi-task deep neural learning
SAC22,Operations research,Requirements engineering for autonomous vehicles: a systematic literature review
SAC22,Physical sciences and engineering,Optimized flight safety event detection in the national general aviation flight information database
SAC22,Life and medical sciences,POSLAN: disentangling chat with positional and language encoded post embeddings
STOC22,Electronic commerce,Approximately efficient bilateral trade
STOC22,Physical sciences and engineering,Optimizing strongly interacting fermionic Hamiltonians
ICMR22,Computer forensics,Camouflaged Poisoning Attack on Graph Neural Networks
ICMR22,Computers in other domains,Motor Learning based on Presentation of a Tentative Goal
ICMR22,Education,Extracting Precedence Relations between Video Lectures in MOOCs
ICMR22,Life and medical sciences,Weakly Supervised Pediatric Bone Age Assessment Using Ultrasonic Images via Automatic Anatomical RoI Detection
KDD22,Life and medical sciences,GBPNet: Universal Geometric Representation Learning on Protein Structures
KDD22,Physical sciences and engineering,Robust Inverse Framework using Knowledge-guided Self-Supervised Learning: An application to Hydrology
KDD22,Physical sciences and engineering,Quantifying and Reducing Registration Uncertainty of Spatial Vector Labels on Earth Imagery
KDD22,Operations research,Selective Cross-City Transfer Learning for Traffic Prediction via Source City Region Re-Weighting
KDD22,Education,HierCDF: A Bayesian Network-based Hierarchical Cognitive Diagnosis Framework
KDD22,Life and medical sciences,Deep Representations for Time-varying Brain Datasets
KDD22,Life and medical sciences,Graph-in-Graph Network for Automatic Gene Ontology Description Generation
KDD22,Physical sciences and engineering,Graph Rationalization with Environment-based Augmentations
KDD22,"Law, social and behavioral sciences",Learning Models of Individual Behavior in Chess
KDD22,Physical sciences and engineering,Nonlinearity Encoding for Extrapolation of Neural Networks
KDD22,"Law, social and behavioral sciences",Predicting Opinion Dynamics via Sociologically-Informed Neural Networks
KDD22,Life and medical sciences,Deep Learning for Prognosis Using Task-fMRI: A Novel Architecture and Training Scheme
KDD22,"Law, social and behavioral sciences",State Dependent Parallel Neural Hawkes Process for Limit Order Book Event Stream Prediction and Simulation
KDD22,"Law, social and behavioral sciences",GUIDE: Group Equality Informed Individual Fairness in Graph Neural Networks
KDD22,Physical sciences and engineering,Dense Feature Tracking of Atmospheric Winds with Deep Optical Flow
KDD22,Physical sciences and engineering,Beyond Point Prediction: Capturing Zero-Inflated & Heavy-Tailed Spatiotemporal Data with Deep Extreme Mixture Models
