Conference,Subfield,Paper
CHI22,Dependable and fault-tolerant systems and networks/Embedded and cyber-physical systems,Understanding the Digital Lives of Youth: Analyzing Media Shared within Safe Versus Unsafe Private Conversations on Instagram
CHI22,Embedded and cyber-physical systems,FAR: End-to-End Vibrotactile Distributed System Designed to Facilitate Affect Regulation in Children Diagnosed with Autism Spectrum Disorder Through Slow Breathing
CHI22,Dependable and fault-tolerant systems and networks/Embedded and cyber-physical systems,PITAS: Sensing and Actuating Embedded Robotic Sheet for Physical Information Communication
CHI22,Dependable and fault-tolerant systems and networks/Embedded and cyber-physical systems,Making New Worlds – Transformative Becomings with Soma Desig
CHI22,Dependable and fault-tolerant systems and networks/Embedded and cyber-physical systems,Mixing in Reverse Optical Flow to Mitigate Vection and Simulation Sickness in Virtual Reality
CHI22,Dependable and fault-tolerant systems and networks/Embedded and cyber-physical systems,"Who, What, Why and How? Towards the Monetary Incentive in Crowd Collaboration: A Case Study of Github’s Sponsor Mechanism"
CHI22,Embedded and cyber-physical systems,Print-A-Sketch: A Handheld Printer for Physical Sketching of Circuits and Sensors on Everyday Surfaces
CHI22,Embedded and cyber-physical systems,Roman: Making Everyday Objects Robotically Manipulable with 3D-Printable Add-on Mechanisms
CHI22,Embedded and cyber-physical systems,Get To The Point! Problem-Based Curated Data Views To Augment Care For Critically Ill Patients
CHI22,Embedded and cyber-physical systems,Permission vs. App Limiters: Profiling Smartphone Users to Understand Differing Strategies for Mobile Privacy Management
CHI22,Dependable and fault-tolerant systems and networks/Embedded and cyber-physical systems,What are you thinking?: Using CBT and Storytelling to Improve Mental Health Among College Students
CHI22,Embedded and cyber-physical systems,Above and Beyond: A Scoping Review of Domains and Applications for Human-Drone Interaction
CHI22,Dependable and fault-tolerant systems and networks/Embedded and cyber-physical systems,How AI-Based Training Affected the Performance of Professional Go Players
CHI22,Embedded and cyber-physical systems,Augmented Reality and Robotics: A Survey and Taxonomy for AR-enhanced Human-Robot Interaction and Robotic Interfaces
CHI22,Dependable and fault-tolerant systems and networks/Embedded and cyber-physical systems,Owning Mistakes Sincerely: Strategies for Mitigating AI Errors
