Conference,Subfield,Paper
CHI22,Information systems applications,Scaling Creative Inspiration with Fine-Grained Functional Aspects of Ideas
CHI22,Information retrieval,BIGexplore: Bayesian Information Gain Framework for Information Exploration
CHI22,Information systems applications,Crystalline: Lowering the Cost for Developers to Collect and Organize Information for Decision Making
CHI22,Information systems applications/World Wide Web,How Much Do Platform Workers Value Reviews? An Experimental Method
CHI22,Information systems applications,OneLabeler: A Flexible System for Building Data Labeling Tools
CHI22,Information retrieval/Information systems applications,What is Your Current Mindset?
CHI22,Information retrieval,Design and Evaluation of Hybrid Search for American Sign Language to English Dictionaries: Making the Most of Imperfect Sign Recognition
CHI22,World Wide Web,Interpolating Happiness: Understanding the Intensity Gradations of Face Emojis Across Cultures
CHI22,World Wide Web,Birds of a feather don’t fact-check each other: Partisanship and the evaluation of news in Twitter’s Birdwatch crowdsourced fact-checking program
CHI22,Information retrieval,ShapeFindAR: Exploring In-Situ Spatial Search for Physical Artifact Retrieval using Mixed Reality
CHI22,Information systems applications,Follow the Leader: Technical and Inspirational Leadership in Open Source Software
CHI22,World Wide Web,“I Wanted to See How Bad it Was”: Online Self-screening as a Critical Transition Point Among Young Adults with Common Mental Health Conditions
CHI22,Information systems applications,Designing Flexible Longitudinal Regimens: Supporting Clinician Planning for Discontinuation of Psychiatric Drugs
CHI22,World Wide Web,RMS: Removing Barriers to Analyze the Availability and Surge Pricing of Ridesharing Services
CHI22,Information retrieval,Structure-aware Visualization Retrieval
CHI22,Information retrieval,Impacts of Personal Characteristics on User Trust in Conversational Recommender Systems
CHI22,Information systems applications,Tisane: Authoring Statistical Models via Formal Reasoning from Conceptual and Data Relationships
CHI22,Information systems applications,Enhanced Videogame Livestreaming by Reconstructing an Interactive 3D Game View for Spectators
CHI22,World Wide Web,“Just Not Together”: The Experience of Videoconferencing for People with Aphasia during the Covid-19 Pandemic
CHI22,World Wide Web,"“In this online environment, we're limited”:: Exploring Inclusive Video Conferencing Design for Signers"
CHI22,Information storage systems,Navigating Imaginaries of DNA-Based Digital Data Storage
CHI22,World Wide Web,"Online Terms and Conditions: Improving User Engagement, Awareness, and Satisfaction through UI Design"
