Conference,Subfield,Paper
CCS22,Mathematical software,Widespread Underestimation of Sensitivity in Differentially Private Libraries and How to Fix It
CCS22,Probability and statistics,Poirot: Probabilistically Recommending Protections for the Android Framework
FSE22,Probability and statistics,Discovering feature flag interdependencies in Microsoft office
MOD22,Discrete mathematics,GraphZeppelin: Storage-Friendly Sketching for Connected Components on Dynamic Graph Streams
MOD22,Probability and statistics,Reptile: Aggregation-level Explanations for Hierarchical Data
MOD22,Discrete mathematics,A Convex-Programming Approach for Efficient Directed Densest Subgraph Discovery
MOD22,Discrete mathematics,Efficient Algorithms for Maximal k-Biplex Enumeration
MOD22,Discrete mathematics,Hunting Temporal Bumps in Graphs with Dynamic Vertex Properties
MOD22,Discrete mathematics,On Scalable Computation of Graph Eccentricities
MOD22,Discrete mathematics,Anchored Densest Subgraph
MOD22,Probability and statistics,Adaptive Threshold Sampling
MOD22,Mathematical analysis,Givens QR Decomposition over Relational Databases
MOD22,Discrete mathematics,Scalable and Effective Bipartite Network Embedding
MOD22,Discrete mathematics,One Set to Cover All Maximal Cliques Approximately
SAC22,Discrete mathematics,K-core decomposition on super large graphs with limited resources
SAC22,Discrete mathematics,SAGA-Net: efficient pointcloud completion with shape-assisted graph attention neural network
SAC22,Probability and statistics,Multi-antenna covert communications in random wireless networks with full-duplex relay
STOC22,Probability and statistics,Expanders via local edge flips in quasilinear time
STOC22,Discrete mathematics,The shortest even cycle problem is tractable
STOC22,Discrete mathematics,Deterministic massively parallel connectivity
STOC22,Probability and statistics,Approximate polymorphisms
STOC22,Mathematical analysis/Probability and statistics,Learning low-degree functions from a logarithmic number of random queries
STOC22,Information theory,"Locally testable codes with constant rate, distance, and locality"
STOC22,Discrete mathematics,On the complexity of CSP-based ideal membership problems
STOC22,Mathematical analysis,Matrix anti-concentration inequalities with applications
STOC22,Information theory,Interactive error correcting codes over binary erasure channels resilient to > ½ adversarial corruption
STOC22,Discrete mathematics,Matrix discrepancy from Quantum communication
STOC22,Discrete mathematics,Testing thresholds for high-dimensional sparse random geometric graphs
STOC22,Probability and statistics,Approximately efficient bilateral trade
STOC22,Probability and statistics,Kalman filtering with adversarial corruptions
STOC22,Probability and statistics,Binary perceptron: efficient algorithms can find solutions in a rare well-connected cluster
STOC22,Discrete mathematics,Twin-width IV: ordered graphs and matrices
STOC22,Information theory,The optimal error resilience of interactive communication over binary channels
STOC22,Discrete mathematics,Randomized communication and implicit graph representations
STOC22,Probability and statistics,Efficient mean estimation with pure differential privacy via a sum-of-squares exponential mechanism
STOC22,Discrete mathematics/Probability and statistics,Computational thresholds for the fixed-magnetization Ising model
STOC22,Probability and statistics,Approximate counting and sampling via local central limit theorems
STOC22,Discrete mathematics,Counting small induced subgraphs with hereditary properties
STOC22,Discrete mathematics,Breaching the 2-approximation barrier for the forest augmentation problem
KDD22,Probability and statistics,Learning to Rotate: Quaternion Transformer for Complicated Periodical Time Series Forecasting
KDD22,Discrete mathematics,HyperAid: Denoising in Hyperbolic Spaces for Tree-fitting and Hierarchical Clustering
KDD22,Probability and statistics,TARNet: Task-Aware Reconstruction for Time-Series Transformer
KDD22,Information theory/Probability and statistics,Discovering Significant Patterns under Sequential False Discovery Control
KDD22,Probability and statistics,Robust Event Forecasting with Spatiotemporal Confounder Learning
KDD22,Discrete mathematics,FreeKD: Free-direction Knowledge Distillation for Graph Neural Networks
KDD22,Discrete mathematics,Meta-Learned Metrics over Multi-Evolution Temporal Graphs
KDD22,Discrete mathematics/Mathematical analysis,Core-periphery Partitioning and Quantum Annealing
