Conference,Subfield,Paper
CHI22,Human and societal aspects of security and privacy,Understanding Privacy Switching Behaviour on Twitter
CHI22,Human and societal aspects of security and privacy,“A Reasonable Thing to Ask For”: Towards a Unified Voice in Privacy Collective Action
CHI22,Human and societal aspects of security and privacy,“It Basically Started Using Me:” An Observational Study of Password Manager Usage
CHI22,Human and societal aspects of security and privacy,Automating Contextual Privacy Policies: Design and Evaluation of a Production Tool for Digital Consumer Privacy Awareness
CHI22,Human and societal aspects of security and privacy,Obfuscation Remedies Harms Arising from Content Flagging of Photos
CHI22,Human and societal aspects of security and privacy,Public Views on Digital COVID-19 Certificates: a Mixed Methods User Study
CHI22,Human and societal aspects of security and privacy,"Many Islands, Many Problems: An Empirical Examination of Online Safety Behaviors in the Caribbean"
CHI22,Human and societal aspects of security and privacy,Human-GDPR Interaction: Practical Experiences of Accessing Personal Data
CHI22,Human and societal aspects of security and privacy,“It’s common and a part of being a content creator”: Understanding How Creators Experience and Cope with Hate and Harassment Online
CHI22,Human and societal aspects of security and privacy,A Large-Scale Measurement of Cybercrime Against Individuals
CHI22,Human and societal aspects of security and privacy,Care Infrastructures for Digital Security in Intimate Partner Violence
CHI22,Human and societal aspects of security and privacy,How to get away with cyberattacks: An argumentative approach to cyberattacks’ legitimization by common users
CHI22,Human and societal aspects of security and privacy,Still Creepy After All These Years:The Normalization of Affective Discomfort in App Use
CHI22,Human and societal aspects of security and privacy,Debiased-CAM to mitigate image perturbations with faithful visual explanations of machine learning
CHI22,Human and societal aspects of security and privacy,Drawing Out the Everyday Hyper-[In]Securities of Digital Identity
CHI22,Human and societal aspects of security and privacy,”Your Eyes Tell You Have Used This Password Before”: Identifying Password Reuse from Gaze and Keystroke Dynamics
CHI22,Human and societal aspects of security and privacy,“It would probably turn into a social faux-pas”: Users’ and Bystanders’ Preferences of Privacy Awareness Mechanisms in Smart Homes
CHI22,Human and societal aspects of security and privacy,Privacy Design Strategies for Home Energy Management Systems (HEMS)
CHI22,Human and societal aspects of security and privacy,Users’ Expectations About and Use of Smartphone Privacy and Security Settings
CHI22,Human and societal aspects of security and privacy,Exploring Bystanders’ Privacy Concerns with Smart Homes in Jordan
CHI22,Human and societal aspects of security and privacy,"Hey Alexa, Who Am I Talking to?: Analyzing Users’ Perception and Awareness Regarding Third-party Alexa Skills"
CHI22,Human and societal aspects of security and privacy,Users Can Deduce Sensitive Locations Protected by Privacy Zones on Fitness Tracking Apps
CHI22,Human and societal aspects of security and privacy,Barriers to Online Dementia Information and Mitigation
