Conference,Subfield,Paper
CHI22,User characteristics,Community Dynamics in Technospiritual Interventions: Lessons Learned from a Church-based mHealth Pilot
CHI22,Professional topics,User Perspectives and Ethical Experiences of Apps for Depression: A Qualitative Analysis of User Reviews
CHI22,Professional topics,Have We Taken On Too Much?: A Critical Review of the Sustainable HCI Landscape
CHI22,Professional topics,Designing Fair AI in Human Resource Management: Understanding Tensions Surrounding Algorithmic Evaluation and Envisioning Stakeholder-Centered Solutions
CHI22,User characteristics,Does Mode of Digital Contact Tracing Affect User Willingness to Share Information? A Quantitative Study
CHI22,Computing $ technology policy/Professional topics,Human-GDPR Interaction: Practical Experiences of Accessing Personal Data
CHI22,User characteristics,”Because AI is 100% right and safe”: User Attitudes and Sources of AI Authority in India
CHI22,Computing $ technology policy,AI-Moderated Decision-Making: Capturing and Balancing Anchoring Bias in Sequential Decision Tasks
CHI22,User characteristics,“Elinor’s Talking to Me!”:Integrating Conversational AI into Children’s Narrative Science Programming
CHI22,User characteristics,Interpolating Happiness: Understanding the Intensity Gradations of Face Emojis Across Cultures
CHI22,User characteristics,StoryBuddy: A Human-AI Collaborative Chatbot for Parent-Child Interactive Storytelling with Flexible Parental Involvement
CHI22,Professional topics,Family Learning Talk in AI Literacy Learning Activities
CHI22,Professional topics,How Interest-Driven Content Creation Shapes Opportunities for Informal Learning in Scratch: A Case Study on Novices’ Use of Data Structures
CHI22,Professional topics,Assisting Teaching Assistants with Automatic Code Corrections
CHI22,User characteristics,What Pronouns for Pepper? A Critical Review of Gender/ing in Research
CHI22,User characteristics,“I hope I never need one”: Unpacking Stigma in Aging in Place Technology
CHI22,User characteristics,Examining Identity as a Variable of Health Technology Research for Older Adults: A Systematic Review
CHI22,Professional topics/User characteristics,ProtoSound: A Personalized and Scalable Sound Recognition System for Deaf and Hard-of-Hearing Users
CHI22,User characteristics,“Hartal (Strike) Happens Here Everyday”: Understanding Impact of Disruption on Education in Kashmir
CHI22,Professional topics,Unmaking as Agonism: Using Participatory Design with Youth to Surface Difference in an Intergenerational Urban Context
CHI22,User characteristics,Exploring Design Opportunities for Supporting Mental Wellbeing Among East Asian University Students in Canada
CHI22,Professional topics,Exploring Renewable Energy Futures through Household Energy Resilience
CHI22,Professional topics/User characteristics,“Brush it Off”: How Women Workers Manage and Cope with Bias and Harassment in Gender-agnostic Gig Platforms
CHI22,User characteristics,Personalization Trade-offs in Designing a Dialogue-based Information System for Support-Seeking of Sexual Violence Survivors
CHI22,Computing $ technology policy,Exploring the Needs of Users for Supporting Privacy-Protective Behaviors in Smart Homes
CHI22,User characteristics,"“All that You Touch, You Change”: Expanding the Canon of Speculative Design Towards Black Futuring"
CHI22,Professional topics,"Seamless Visions, Seamful Realities: Anticipating Rural Infrastructural Fragility in Early Design of Digital Agriculture"
CHI22,User characteristics,Interactive Fiction Provotypes for Coping with Interpersonal Racism
CHI22,User characteristics,VoxLens: Making Online Data Visualizations Accessible with an Interactive JavaScript Plug-In
CHI22,Computing $ technology policy,Making Space for Cultural Infrastructure: The Breakdown and Maintenance Work of Independent Movie Theaters During Crisis
CHI22,User characteristics,Pet-Robot or Appliance? Care Home Residents with Dementia Respond to a Zoomorphic Floor Washing Robot
CHI22,Professional topics,Towards Sign Language-Centric Design of ASL Survey Tools
CHI22,User characteristics,We Play and Learn Rhythmically: Gesture-based Rhythm Game for Children with Intellectual Developmental Disabilities to Learn Manual Sign
CHI22,Professional topics/User characteristics,ADHD and Technology Research – Investigated by Neurodivergent Readers
CHI22,Computing $ technology policy,Impact and User Perception of Sandwich Attacks in the DeFi Ecosystem
CHI22,User characteristics,TronicBoards: An Accessible Electronics Toolkit for People with Intellectual Disabilities
CHI22,Professional topics/User characteristics,Anticipate and Adjust: Cultivating Access in Human-Centered Methods
CHI22,User characteristics,“It’s Kind of Like Code-Switching”: Black Older Adults’ Experiences with a Voice Assistant for Health Information Seeking
CHI22,Professional topics,“Just Not Together”: The Experience of Videoconferencing for People with Aphasia during the Covid-19 Pandemic
CHI22,Professional topics/User characteristics,"“In this online environment, we're limited”:: Exploring Inclusive Video Conferencing Design for Signers"
CHI22,Computing $ technology policy,"“Okay, whatever”: An Evaluation of Cookie Consent Interfaces"
SAC22,Computing $ technology policy,"Domain name service trust delegation in cloud computing: exploitation, risks, and defense"
SAC22,Computing $ technology policy,Ontology-based user privacy management in smart grid
SAC22,Computing $ technology policy,Trac2Chain: trackability and traceability of graph data in blockchain with linkage privacy
SAC22,Computing $ technology policy,Calibrating the performance and security of blockchains via information propagation delays: revisiting an old approach with a new perspective
SAC22,Computing $ technology policy,Ensuring privacy in the application of the Brazilian general data protection law (LGPD)
SAC22,Professional topics,Are tags 'it?': analysis of the impact of tags on StackOverflow questions
SAC22,Professional topics,Automating the measurement of heterogeneous chatbot designs
SAC22,Computing $ technology policy,CHORS: hardening high-assurance security systems with trusted computing
KDD22,Computing $ technology policy,Detecting Cash-out Users via Dense Subgraphs
KDD22,User characteristics,Learning Fair Representation via Distributional Contrastive Disentanglement
KDD22,Professional topics,Compute Like Humans: Interpretable Step-by-step Symbolic Computation with Deep Neural Network
KDD22,Professional topics,Incremental Cognitive Diagnosis for Intelligent Education
KDD22,Professional topics,Multi-Agent Graph Convolutional Reinforcement Learning for Dynamic Electric Vehicle Charging Pricing
KDD22,User characteristics,Adaptive Fairness-Aware Online Meta-Learning for Changing Environments
KDD22,Computing $ technology policy,Design Domain Specific Neural Network via Symbolic Testing
