Conference,Subfield,Paper
CHI22,Software creation and management,Crystalline: Lowering the Cost for Developers to Collect and Organize Information for Decision Making
CHI22,Software creation and management,Understanding How Programmers Can Use Annotations on Documentation
CHI22,Software creation and management,How can Explainability Methods be Used to Support Bug Identification in Computer Vision Models?
CHI22,Software organization and properties,"Much Realistic, Such Wow! A Systematic Literature Review of Realism in Digital Games"
CHI22,Software organization and properties,Visual Delegate Generalization Frame – Evaluating Impact of Visual Effects and Elements on Player and User Experiences in Video Games and Interactive Virtual Environments
CHI22,Software creation and management,A Conversational Approach for Modifying Service Mashups in IoT Environments
CHI22,Software notations and tools,Discovering the Syntax and Strategies of Natural Language Programming with Generative Language Models
CHI22,Software organization and properties/Software creation and management,Solving Separation-of-Concerns Problems in Collaborative Design of Human-AI Systems through Leaky Abstractions
CHI22,Software organization and properties,Varv: Reprogrammable Interactive Software as a Declarative Data Structure
CHI22,Software organization and properties,Enhanced Videogame Livestreaming by Reconstructing an Interactive 3D Game View for Spectators
CHI22,Software creation and management,"A study of UX practitioners roles in designing real-world, enterprise ML systems"
CHI22,Software creation and management,Guided Bug Crush: Assist Manual GUI Testing of Android Apps via Hint Moves
CCS22,Software notations and tools,Power Contracts: Provably Complete Power Leakage Models for Processors
CCS22,Software organization and properties,MetaEmu: An Architecture Agnostic Rehosting Framework for Automotive Firmware
CCS22,Software organization and properties,VRust: Automated Vulnerability Detection for Solana Smart Contracts
CCS22,Software creation and management,P-Verifier: Understanding and Mitigating Security Risks in Cloud-based IoT Access Policies
CCS22,Software notations and tools,HyperDbg: Reinventing Hardware-Assisted Debugging
CCS22,Software notations and tools,Zapper: Smart Contracts with Data and Identity Privacy
CCS22,Software creation and management,Microwalk-CI: Practical Side-Channel Analysis for JavaScript Applications
FSE22,Software organization and properties,Adaptive fairness improvement based on causality analysis
FSE22,Software notations and tools,NatGen: generative pre-training by “naturalizing” source code
FSE22,Software creation and management,Testing of autonomous driving systems: where are we and where should we go?
FSE22,Software creation and management/Software organization and properties,Fuzzing deep-learning libraries via automated relational API inference
FSE22,Software creation and management,SEDiff: scope-aware differential fuzzing to test internal function models in symbolic execution
