Conference,Subfield,Paper
CHI22,Theory and algorithms for application domains,Examining AI Methods for Micro-Coaching Dialogs
CCS22,Computational complexity and cryptography,Updatable Public Key Encryption from DCR: Efficient Constructions With Stronger Security
CCS22,Semantics and reasoning,Enforcing Fine-grained Constant-time Policies
CCS22,Computational complexity and cryptography,Secure Parallel Computation on Privately Partitioned Data and Applications
CCS22,Computational complexity and cryptography,Feta: Efficient Threshold Designated-Verifier Zero-Knowledge Proofs
CCS22,Computational complexity and cryptography,PSI from Ring-OLE
CCS22,Computational complexity and cryptography,Sharp: Short Relaxed Range Proofs
CCS22,Computational complexity and cryptography,GearBox: Optimal-size Shard Committees by Leveraging the Safety-Liveness Dichotomy
CCS22,Theory and algorithms for application domains,"FenceSitter: Black-box, Content-Agnostic, and Synchronization-Free Enrollment-Phase Attacks on Speaker Recognition Systems"
CCS22,Computational complexity and cryptography,Improving Line-Point Zero Knowledge: Two Multiplications for the Price of One
CCS22,Theory and algorithms for application domains,Identifying a Training-Set Attack's Target Using Renormalized Influence Estimation
CCS22,Computational complexity and cryptography,RedShift: Transparent SNARKs from List Polynomial Commitments
CCS22,Computational complexity and cryptography/Logic,Proving UNSAT in Zero Knowledge
CCS22,Formal languages and automata theory,Cerberus: Query-driven Scalable Vulnerability Detection in OAuth Service Provider Implementations
CCS22,Computational complexity and cryptography,"Batching, Aggregation, and Zero-Knowledge Proofs in Bilinear Accumulators"
CCS22,Computational complexity and cryptography,AntMan: Interactive Zero-Knowledge Proofs with Sublinear Communication
CCS22,Computational complexity and cryptography,PACE: Fully Parallelizable BFT from Reproposable Byzantine Agreement
CCS22,Computational complexity and cryptography,VOProof: Efficient zkSNARKs from Vector Oracle Compilers
FSE22,Semantics and reasoning,Large-scale analysis of non-termination bugs in real-world OSS projects
FSE22,Formal languages and automata theory,Input invariants
FSE22,Logic,Modus: a Datalog dialect for building container images
FSE22,Semantics and reasoning,Neural termination analysis
FSE22,Semantics and reasoning,DeJITLeak: eliminating JIT-induced timing side-channel leaks
FSE22,Semantics and reasoning,Generic sensitivity: customizing context-sensitive pointer analysis for generics
FSE22,Logic,SymMC: approximate model enumeration and counting using symmetry information for Alloy specifications
FSE22,Semantics and reasoning,MultIPAs: applying program transformations to introductory programming assignments for data augmentation
FSE22,Semantics and reasoning,SFLKit: a workbench for statistical fault localization
FSE22,Computational complexity and cryptography/Formal languages and automata theory/Theory and algorithms for application domains,Explaining and debugging pathological program behavior
ISCA22,Models of computation,Free atomics: hardware atomic operations without fences
ISCA22,Models of computation,Mixed-proxy extensions for the NVIDIA PTX memory consistency model: industrial product
MOD22,Semantics and reasoning,WeTune: Automatic Discovery and Verification of Query Rewrite Rules
MOD22,Theory and algorithms for application domains,Conjunctive Queries with Comparisons
MOD22,Theory and algorithms for application domains,Efficient Incrementialization of Correlated Nested Aggregate Queries using Relative Partial Aggregate Indexes (RPAI)
MOD22,Theory and algorithms for application domains,Causal Feature Selection for Algorithmic Fairness
MOD22,Design and analysis of algorithms/Models of computation,AutoMon: Automatic Distributed Monitoring for Arbitrary Multivariate Functions
MOD22,Design and analysis of algorithms,GraphZeppelin: Storage-Friendly Sketching for Connected Components on Dynamic Graph Streams
MOD22,Theory and algorithms for application domains,Understanding Queries by Conditional Instances
